frame,t,x,y,dx,dy,area
0,0.0,1920.0,1080.0,0.0,0.0,0
4,0.03333333333333333,1920.0,1080.0,0.0,0.0,0
8,0.06666666666666667,1920.0,1080.0,0.0,0.0,0
12,0.1,1920.0,1080.0,0.0,0.0,0
16,0.13333333333333333,1920.0,1080.0,0.0,0.0,0
20,0.16666666666666666,1920.0,1080.0,0.0,0.0,0
24,0.2,1920.0,1080.0,0.0,0.0,0
28,0.23333333333333334,1920.0,1080.0,0.0,0.0,0
32,0.26666666666666666,1920.0,1080.0,0.0,0.0,0
36,0.3,1920.0,1080.0,0.0,0.0,0
40,0.3333333333333333,1920.0,1080.0,0.0,0.0,0
44,0.36666666666666664,1920.0,1080.0,0.0,0.0,0
48,0.4,1920.0,1080.0,0.0,0.0,0
52,0.43333333333333335,1920.0,1080.0,0.0,0.0,0
56,0.4666666666666667,1920.0,1080.0,0.0,0.0,0
60,0.5,1920.0,1080.0,0.0,0.0,0
64,0.5333333333333333,1920.0,1080.0,0.0,0.0,0
68,0.5666666666666667,1920.0,1080.0,0.0,0.0,0
72,0.6,1920.0,1080.0,0.0,0.0,0
76,0.6333333333333333,1920.0,1080.0,0.0,0.0,0
80,0.6666666666666666,1920.0,1080.0,0.0,0.0,0
84,0.7,1920.0,1080.0,0.0,0.0,0
88,0.7333333333333333,1920.0,1080.0,0.0,0.0,0
92,0.7666666666666667,1920.0,1080.0,0.0,0.0,0
96,0.8,1920.0,1080.0,0.0,0.0,0
100,0.8333333333333334,1920.0,1080.0,0.0,0.0,0
104,0.8666666666666667,1920.0,1080.0,0.0,0.0,0
108,0.9,1920.0,1080.0,0.0,0.0,0
112,0.9333333333333333,1920.0,1080.0,0.0,0.0,0
116,0.9666666666666667,1920.0,1080.0,0.0,0.0,0
120,1.0,1920.0,1080.0,0.0,0.0,0
124,1.0333333333333334,1920.0,1080.0,0.0,0.0,0
128,1.0666666666666667,1920.0,1080.0,0.0,0.0,0
132,1.1,1920.0,1080.0,0.0,0.0,0
136,1.1333333333333333,1920.0,1080.0,0.0,0.0,0
140,1.1666666666666667,1920.0,1080.0,0.0,0.0,0
144,1.2,1920.0,1080.0,0.0,0.0,0
148,1.2333333333333334,1920.0,1080.0,0.0,0.0,0
152,1.2666666666666666,1920.0,1080.0,0.0,0.0,0
156,1.3,1920.0,1080.0,0.0,0.0,0
160,1.3333333333333333,1920.0,1080.0,0.0,0.0,0
164,1.3666666666666667,1920.0,1080.0,0.0,0.0,0
168,1.4,1920.0,1080.0,0.0,0.0,0
172,1.4333333333333333,1920.0,1080.0,0.0,0.0,0
176,1.4666666666666666,1920.0,1080.0,0.0,0.0,0
180,1.5,1920.0,1080.0,0.0,0.0,0
184,1.5333333333333334,1920.0,1080.0,0.0,0.0,0
188,1.5666666666666667,1920.0,1080.0,0.0,0.0,0
192,1.6,1920.0,1080.0,0.0,0.0,0
196,1.6333333333333333,1920.0,1080.0,0.0,0.0,0
200,1.6666666666666667,1920.0,1080.0,0.0,0.0,0
204,1.7,1920.0,1080.0,0.0,0.0,0
208,1.7333333333333334,1920.0,1080.0,0.0,0.0,0
212,1.7666666666666666,1920.0,1080.0,0.0,0.0,0
216,1.8,1920.0,1080.0,0.0,0.0,0
220,1.8333333333333333,1920.0,1080.0,0.0,0.0,0
224,1.8666666666666667,1920.0,1080.0,0.0,0.0,0
228,1.9,1920.0,1080.0,0.0,0.0,0
232,1.9333333333333333,1920.0,1080.0,0.0,0.0,0
236,1.9666666666666666,1920.0,1080.0,0.0,0.0,0
240,2.0,1909.0,1195.2916666666667,-11.0,115.29166666666674,72
244,2.033333333333333,1910.590909090909,1184.3305785123966,-9.409090909090992,104.33057851239664,242
248,2.066666666666667,1911.887029288703,1173.2761506276152,-8.112970711297066,93.27615062761515,239
252,2.1,1912.6399999999999,1164.028,-7.360000000000127,84.02800000000002,250
256,2.1333333333333333,1913.1893004115227,1156.4238683127571,-6.810699588477291,76.42386831275712,243
260,2.1666666666666665,1913.97510373444,1149.8921161825726,-6.0248962655600735,69.89211618257264,241
264,2.2,1914.4896265560167,1144.2738589211617,-5.510373443983326,64.27385892116172,241
268,2.2333333333333334,1914.9711934156378,1139.275720164609,-5.028806584362201,59.27572016460908,243
272,2.2666666666666666,1915.3719008264463,1135.2561983471073,-4.6280991735536645,55.25619834710733,242
276,2.3,1915.8688524590164,1131.8319672131147,-4.131147540983648,51.831967213114694,244
280,2.3333333333333335,1916.0954356846473,1128.1867219917012,-3.9045643153526726,48.18672199170123,241
284,2.3666666666666667,1916.2175732217574,1125.326359832636,-3.7824267782425522,45.326359832635944,239
288,2.4,1916.9053497942386,1122.8930041152264,-3.0946502057613543,42.893004115226404,243
292,2.433333333333333,1916.9346938775511,1120.8938775510205,-3.065306122448874,40.89387755102052,245
296,2.466666666666667,1916.9959349593496,1118.4308943089432,-3.004065040650403,38.43089430894315,246
300,2.5,1917.1818181818182,1116.797520661157,-2.818181818181756,36.79752066115702,242
304,2.533333333333333,1917.3658536585367,1114.841463414634,-2.6341463414632926,34.84146341463406,246
308,2.566666666666667,1917.8728813559321,1113.415254237288,-2.1271186440678775,33.41525423728808,236
312,2.6,1917.915254237288,1112.3813559322034,-2.0847457627119184,32.381355932203405,236
316,2.6333333333333333,1917.939393939394,1111.5541125541126,-2.0606060606060055,31.554112554112635,231
320,2.6666666666666665,1917.9642857142858,1109.96875,-2.0357142857142208,29.96875,224
324,2.7,1918.0358744394618,1109.0089686098654,-1.9641255605381502,29.008968609865406,223
328,2.7333333333333334,1917.990243902439,1108.5951219512194,-2.0097560975609667,28.595121951219426,205
332,2.7666666666666666,1917.958549222798,1108.0051813471503,-2.0414507772020443,28.005181347150256,193
336,2.8,1917.9837837837838,1107.3621621621621,-2.0162162162162076,27.36216216216212,185
340,2.8333333333333335,1918.3932584269662,1106.7359550561798,-1.606741573033787,26.73595505617982,178
344,2.8666666666666667,1918.4912280701756,1105.9883040935672,-1.5087719298244338,25.988304093567194,171
348,2.9,1918.369696969697,1105.7575757575758,-1.6303030303029118,25.75757575757575,165
352,2.933333333333333,1918.5153374233128,1105.1042944785277,-1.484662576687242,25.104294478527663,163
356,2.966666666666667,1918.4810126582279,1104.3544303797469,-1.5189873417721174,24.354430379746873,158
360,3.0,1918.4133333333334,1104.16,-1.5866666666665878,24.160000000000082,150
364,3.033333333333333,1918.3243243243244,1105.5675675675675,-1.6756756756756204,25.567567567567494,74
368,3.066666666666667,1918.4533333333334,1104.9333333333334,-1.5466666666666242,24.933333333333394,75
372,3.1,1918.5,1104.7428571428572,-1.5,24.742857142857247,70
376,3.1333333333333333,1918.391304347826,1104.2608695652175,-1.6086956521739921,24.26086956521749,69
380,3.1666666666666665,1918.4,1104.1076923076923,-1.599999999999909,24.107692307692332,65
384,3.2,1918.5,1103.6935483870968,-1.5,23.693548387096826,62
388,3.2333333333333334,1918.25,1103.642857142857,-1.75,23.64285714285711,56
392,3.2666666666666666,1918.6296296296296,1103.388888888889,-1.3703703703704377,23.388888888888914,54
396,3.3,1918.5686274509803,1103.078431372549,-1.4313725490196703,23.07843137254895,51
400,3.3333333333333335,1917.9183673469388,1103.0,-2.081632653061206,23.0,49
404,3.3666666666666667,1918.4186046511627,1102.7441860465117,-1.5813953488373045,22.744186046511686,43
408,3.4,1917.9473684210527,1102.578947368421,-2.0526315789472847,22.57894736842104,38
412,3.433333333333333,1917.5588235294117,1102.5,-2.441176470588289,22.5,34
416,3.466666666666667,1918.4411764705883,1102.3235294117646,-1.5588235294117112,22.32352941176464,34
420,3.5,1918.0,1102.0,-2.0,22.0,27
424,3.533333333333333,1918.0,1102.0,-2.0,22.0,27
428,3.566666666666667,1918.5,1102.0,-1.5,22.0,24
432,3.6,1918.0,1102.0,-2.0,22.0,21
436,3.6333333333333333,1918.5,1102.0,-1.5,22.0,18
440,3.6666666666666665,1918.5,1102.0,-1.5,22.0,18
444,3.7,1919.0,1102.0,-1.0,22.0,15
448,3.7333333333333334,1920.0,1080.0,0.0,0.0,0
452,3.7666666666666666,1920.0,1080.0,0.0,0.0,0
456,3.8,1920.0,1080.0,0.0,0.0,0
460,3.8333333333333335,1920.0,1080.0,0.0,0.0,0
464,3.8666666666666667,1920.0,1080.0,0.0,0.0,0
468,3.9,1920.0,1080.0,0.0,0.0,0
472,3.933333333333333,1920.0,1080.0,0.0,0.0,0
476,3.966666666666667,1920.0,1080.0,0.0,0.0,0
480,4.0,1920.0,1080.0,0.0,0.0,0
484,4.033333333333333,1920.0,1080.0,0.0,0.0,0
488,4.066666666666666,1920.0,1080.0,0.0,0.0,0
492,4.1,1920.0,1080.0,0.0,0.0,0
496,4.133333333333334,1920.0,1080.0,0.0,0.0,0
500,4.166666666666667,1920.0,1080.0,0.0,0.0,0
504,4.2,1920.0,1080.0,0.0,0.0,0
508,4.233333333333333,1920.0,1080.0,0.0,0.0,0
512,4.266666666666667,1920.0,1080.0,0.0,0.0,0
516,4.3,1920.0,1080.0,0.0,0.0,0
520,4.333333333333333,1920.0,1080.0,0.0,0.0,0
